System log for account marc.landolt@yetnet.ch (msn) connected at 03.06.2007 13::29::46
---- +++ marc.landolt@yetnet.ch hat sich angemeldet @ 2007-06-03 13:29:46 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-06-03 13:31:37 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-06-03 13:45:55 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-06-03 14:14:28 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-06-03 14:29:45 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-06-03 14:44:52 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-06-03 15:10:46 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-06-03 15:44:16 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch hat sich abgemeldet @ 2007-06-03 17:09:04 ----
