System log for account marc.landolt@yetnet.ch (msn) connected at 23.02.2007 17::34::04
---- +++ marc.landolt@yetnet.ch hat sich angemeldet @ 2007-02-23 17:34:04 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-02-23 17:34:16 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-02-23 18:00:42 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-02-23 18:37:20 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-02-23 19:00:48 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch hat sich abgemeldet @ 2007-02-24 09:29:11 ----
